,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
102,1_10_109,MEDELLÍN,2,Secundaria,126-200,2011-2020,7,1,0,0,0,Entre 50% y 75%,253000,145000.0,1010000.0,1,0,>20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,43,hombre,moto_street,frenos_tambor,sector_servicio
105,1_10_1092,MEDELLÍN,2,Secundaria,100-125,2011-2020,7,0,1,0,0,Nunca,148000,89000.0,840000.0,1,1,6-10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,39,mujer,moto_street,frenos_disco,sector_servicio
109,1_10_1096,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,7,1,0,0,0,Entre 50% y 75%,224000,387000.0,1450000.0,1,1,11-20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,36,hombre,moto_deportiva,frenos_mixto,sector_servicio
110,1_10_1097,MEDELLÍN,1,Técnica / Tecnológica,126-200,2021-2022,7,0,1,0,0,Entre 50% y 75%,133000,129000.0,1650000.0,1,0,11-20,1,0,0,1,1,1,0,1,1,0,0,1,0,0,32,hombre,moto_deportiva,frenos_mixto,sector_servicio
113,1_10_11,MEDELLÍN,3,Secundaria,<100,2001-2010,7,1,0,0,0,Mayor a 75%,104000,173000.0,1500000.0,1,1,11-20,1,1,1,1,1,1,1,1,1,1,0,1,0,0,56,hombre,moto_street,frenos_disco,sector_transporte
118,1_10_1103,MEDELLÍN,4,Universitaria o postgrado,100-125,2011-2020,7,1,0,0,0,Nunca,325000,199000.0,1780000.0,1,0,11-20,1,1,1,1,1,1,0,1,0,0,0,0,0,0,28,mujer,moto_scooter,frenos_mixto,sector_servicio
123,1_10_1108,MEDELLÍN,3,Técnica / Tecnológica,126-200,2011-2020,6,1,0,0,0,Mayor a 75%,117000,199000.0,1100000.0,1,1,6-10,1,1,1,1,1,1,0,1,1,1,1,1,0,0,28,hombre,moto_street,frenos_disco,sector_servicio
131,1_10_1116,MEDELLÍN,3,Técnica / Tecnológica,<100,2001-2010,6,0,1,0,0,Entre 25% y 50%,225000,143000.0,980000.0,1,1,11-20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,47,mujer,moto_scooter,frenos_mixto,sector_comercio
132,1_10_1117,MEDELLÍN,3,Secundaria,>200,2011-2020,5,0,1,0,0,Entre 25% y 50%,322000,127000.0,1750000.0,1,0,11-20,1,0,1,1,1,1,0,1,0,0,0,0,0,0,32,hombre,moto_street,frenos_disco,sector_servicio
135,1_10_112,MEDELLÍN,4,Secundaria,126-200,2011-2020,5,1,1,1,0,Entre 50% y 75%,215000,461000.0,2200000.0,1,0,0-2,1,1,1,1,1,1,0,1,0,0,0,1,1,0,28,hombre,moto_deportiva,frenos_mixto,sector_comercio
137,1_10_1121,MEDELLÍN,3,Técnica / Tecnológica,<100,2011-2020,7,0,1,0,0,Mayor a 75%,144000,86000.0,990000.0,1,1,6-10,1,1,1,1,1,1,0,1,1,1,0,0,0,0,28,hombre,moto_street,frenos_tambor,sector_comercio
138,1_10_1122,MEDELLÍN,2,Secundaria,100-125,2011-2020,6,0,1,0,0,Entre 25% y 50%,277000,80000.0,1060000.0,1,1,3-5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,22,hombre,moto_street,frenos_disco,sector_comercio
142,1_10_1126,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,297000,72000.0,1010000.0,1,0,11-20,1,1,1,1,1,1,1,1,1,0,0,1,0,0,29,hombre,moto_street,frenos_mixto,sector_comercio
144,1_10_1127,MEDELLÍN,2,Técnica / Tecnológica,<100,2011-2020,7,0,1,0,0,Mayor a 75%,74000,66000.0,990000.0,1,0,>20,1,1,1,1,1,1,1,1,1,0,1,0,0,0,38,hombre,moto_street,frenos_tambor,sector_comercio
145,1_10_1128,MEDELLÍN,4,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,260000,87000.0,990000.0,1,0,11-20,1,1,1,1,1,1,0,1,1,0,1,0,1,0,33,hombre,moto_street,frenos_mixto,sector_comercio
153,1_10_1135,MEDELLÍN,3,Universitaria o postgrado,<100,2001-2010,7,0,1,0,0,Menos del 25%,155000,175000.0,895000.0,1,0,11-20,1,1,1,1,1,1,0,1,0,0,0,0,0,0,26,mujer,moto_street,frenos_tambor,sector_servicio
155,1_10_1137,MEDELLÍN,2,Secundaria,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,224000,185000.0,1150000.0,1,1,6-10,1,1,1,1,1,1,1,1,1,0,0,1,1,0,23,hombre,moto_street,frenos_tambor,sector_servicio
157,1_10_1139,MEDELLÍN,2,Secundaria,<100,2011-2020,7,1,0,0,0,Entre 25% y 50%,36000,175000.0,1760000.0,1,1,6-10,1,0,1,1,1,1,1,1,0,0,0,0,0,0,21,hombre,moto_street,frenos_tambor,sector_transporte
162,1_10_1143,MEDELLÍN,3,Universitaria o postgrado,126-200,2011-2020,6,0,1,0,0,Entre 25% y 50%,293000,101000.0,1930000.0,1,0,11-20,1,0,1,1,1,1,1,1,0,0,0,0,0,0,29,hombre,moto_street,frenos_disco,sector_servicio
